uid,body,title,url,newspaper_uid,host,n_tokens_title,n_tokens_body
b9a2300f1322f2f8d7a1b7606e144c5e, La Secretaría de Salud del gobierno federal informó que al 27 de junio hay registro de 26 mil 381 muertos y 212 mil 802 casos confirmados acumulados de coronavirus en México.,"Casos de Covid-19 en México, estado por estado al 27 de junio",http://www.eluniversal.com.mx/estados/casos-de-covid-19-en-mexico-estado-por-estado-al-27-de-junio,eluniversal,www.eluniversal.com.mx,3,15
dfd783a174948763ead62af066825d05, En Puebla se han registrado mil 181 muertes y 9 mil 522 casos confirmados de coronavirus al 27 de junio.,Casos confirmados de Covid-19 en Puebla al 27 de junio,http://www.eluniversal.com.mx/estados/casos-confirmados-de-covid-19-en-puebla-al-27-de-junio,eluniversal,www.eluniversal.com.mx,4,9
05cffd19e84cd3aed41377f8e5923e78,Texto: Carlos Villasana y Ruth Gómez.,El edificio para la salud e higiene,https://www.eluniversal.com.mx/opinion/mochilazo-en-el-tiempo/el-edificio-porfirista-para-la-salud-e-higiene,eluniversal,www.eluniversal.com.mx,3,5
ce4bad0c3426b0a14c3a263849f2c511," La cantante Jennifer López recibió el verano presumiendo su belleza al compartir una fotografía en la playa, a través de su cuenta de Instagram.  ",jennifer lopez enciende el verano con traje de bano blanco,https://www.viveusa.mx/showbiz/jennifer-lopez-enciende-el-verano-con-traje-de-bano-blanco,eluniversal,www.viveusa.mx,7,13
e403fbb33a83d7a712773f256b58004e,La tiranía de Hollywood no perdona ni siquiera a las actrices más cotizadas como Scarlett Johansson.,"Scarlett Johansson denuncia ""presión"" de Hollywood para estar delgados",http://www.eluniversal.com.mx/espectaculos/cine/scarlett-johansson-denuncia-presion-de-hollywood-para-estar-delgados,eluniversal,www.eluniversal.com.mx,6,8
cb0b8a6eaaa61c5a25d1ed5ec99b8ea1,"La mañana de este 28 de junio, el coordinador del Partido Acción Nacional (PAN) en la Cámara de Diputados en San Lázaro, Juan Carlos Romero Hicks, confirmó a través de Twitter la muerte de su hijo Juan Carlos Siekman. Sin entrar en pormenores sobre la causa del fallecimiento lo recordó como un hombre entregado a las artes y también agradeció todas las muestras de cariño y apoyo que le han hecho llegar. ",fallece hijo de juan carlos romero hicks coordinador del pan en san lazaro,https://www.elgrafico.mx/al-dia/fallece-hijo-de-juan-carlos-romero-hicks-coordinador-del-pan-en-san-lazaro,eluniversal,www.elgrafico.mx,10,38
b0c3f608bf966358c46d45aeefeba419," Son muchos los que dicen que después de esta pandemia todo va a cambiar; otros contestan que no habrá más cambios que los de enfrentar mejor la próxima plaga. Albert Camus hablaba de una “utopía modesta”. Cuando recibió el premio Nobel dijo: “Cada generación, sin duda, se cree llamada a rehacer el mundo. Sin embargo, la mía sabe que no va a rehacerlo. Puede que su tarea sea mayor aún. Consiste en impedir que el mundo se deshaga”. Muchos años después, el gran historiador Tony Judt, en Pensar el siglo XX, pensaba a nuestro siglo XXI: “Como intelectuales, corremos el riesgo de encontrarnos en una situación tal que nuestra tarea principal sea, no imaginar un mundo mejor, sino reflexionar en los medios de evitar peores mundos”.",Modesta utopía,https://www.eluniversal.com.mx/opinion/jean-meyer/modesta-utopia,eluniversal,www.eluniversal.com.mx,2,68
376e5ecd5d0be88284fc9e2dc032bfaa,La energía eléctrica que permite encender diariamente cinco de cada 10 focos en el país está controlada por empresas privadas.,Empresas privadas controlan 45% de la energía eléctrica,http://www.eluniversal.com.mx/cartera/empresas-privadas-controlan-45-de-la-energia-electrica,eluniversal,www.eluniversal.com.mx,5,12
d4ae4507f59a582eba9887ccf4cd51fb,"Elementos de la Fiscalía General de la República (FGR) detuvo a Jaime Tafolla Ortega “El Alacrán”, identificado como integrante del Cártel Jalisco Nueva Generación (CJNG) quien supuestamente está implicado en el homicidio del juez federal Uriel Villegas Ortiz.",Detienen a dos sospechosos por asesinato del juez Uriel Villegas y su esposa,http://www.eluniversal.com.mx/nacion/detienen-dos-sospechosos-por-asesinato-del-juez-uriel-villegas-y-su-esposa,eluniversal,www.eluniversal.com.mx,8,25
8aa21cfab43bf4707108edf88852d3b5,Leer en español,"Mexico City police chief Omar García Harfuch injured in assassination attempt, blames CJNG cartel",https://www.eluniversal.com.mx/english/mexico-city-police-chief-omar-garcia-harfuch-injured-assassination-attempt-blames-cjng,eluniversal,www.eluniversal.com.mx,14,2
1396f488f7fc18081cfa742d9e91d205," Juchitán de Zaragoza.— Tres días después de que se reportó la desaparición del norteamericano Antony Nicodym en el mar de Puerto Escondido, la mañana de este martes fue localizado frente al faro de este puerto. ",Localizan cuerpo de estadounidense desaparecido frente al faro de Puerto Escondido,https://oaxaca.eluniversal.com.mx/municipios/16-06-2020/localizan-cuerpo-de-estadounidense-desaparecido-frente-al-faro-de-puerto,eluniversal,oaxaca.eluniversal.com.mx,8,18
