body,title
"En comisiones, la Comisión Permanente del Congreso suspendió esta tarde el proceso de designación de titular de la Procuraduría De Defensa del Contribuyente (Prodecon), por orden del Juez Primero de Distrito en Materia Administrativa del estado de Nuevo León.",Por orden de Juez suspenden proceso de designación en Prodecon
"
El empresario Mark Zuckerberg ha construido un imperio de redes sociales. No sólo es creador de Facebook, ha sumado Messenger, Instagram y WhatsApp a su dominio. ",
La Comisión Nacional de Derechos Humanos (CNDH) exhortó al académico John Ackerman a respetar los derechos humanos de los periodistas.,CNDH exhorta a Ackerman a respetar los derechos humanos de periodistas 
"
Tras suspender el envío de jornaleros por la pandemia de coronavirus, el gobierno de México y el de Canadá acordaron retomar el Programa de Trabajadores Agrícolas Temporales (PTAT). ",
"Durante esta época de pandemia el influencer Juanma Salazar ha visto un crecimiento en cuanto a los que, como él, crean contenido a través de plataformas como YouTube o Instagram. ",Juanma Salazar siente que ha crecido la competencia
Nos dicen que el presidente Andrés Manuel López Obrador afina el mensaje para celebrar el segundo aniversario de su triunfo electoral el próximo miércoles 1 de julio.,"AMLO festeja dos años de triunfo, ¿habrá cambios?"
"
—Ayudaremos a los pobres —: el plan del Presidente López Obrador ante la crisis que vivimos ha dejado en el desamparo y la zozobra a la otra mitad de la población, la clase media.",El fin de la economía
"
Ilsa Aguilar Bautista sonríe mientras muestra su fe de bautismo. Ella es la primera mujer trans reconocida en Querétaro y que obtuviera el cambio de nombre y género en su acta de nacimiento, también es la primera que la Universidad Autónoma de Querétaro (UAQ) cambia su título universitario, y ahora quiere ser la primera en cambiar su nombre en su fe de bautismo, para vivir de manera plena su religión, parte de su tradición familiar.",Pide fe de bautismo. Mujer trans quiere ser reconocida por la Iglesia
"Bajo un fuerte dispositivo de seguridad, con una escolta de más de 200 agentes de la Secretaría de Seguridad Ciudadana (SSC-CDMX) y de la Policía de Investigación (PDI), la madrugada de este domingo los 19 detenidos por el ataque en contra del titular de la Policía, Omar García Harfuch, fueron trasladados al Reclusorio Sur.
 
Los presuntos gatilleros a sueldo, todo el tiempo estuvieron dentro de dos unidades conocidas como “Rino”, el operativo fue coordinado por varias instituciones de seguridad y en el trayecto, vigilados por las cámaras del C-5 del Gobierno Capitalino, ante el temor de un trabajo de “rescate” para liberarlos.
 
Se espera que durante el transcurso del día inicie la audiencia de control, en la que un juez del Tribunal Superior de Justicia Local califique de legal la detención de los 19 imputados, este proceso será a puerta cerradas por la contingencia ocasionada por el Covid-19.
 ",Trasladan a los 19 detenidos por ataque contra García Harfuch al Reclusorio Sur
"
Guanajuato. — Este sábado se realizó la segunda audiencia de vinculación de María Eva Ortiz, mamá de José Antonio Yépez, El Marro, líder del Cártel de Santa Rosa de Lima (CSRL), pero no se presentó la perito de la Fiscalía que presentaría pruebas fundamentales para el juicio.","No se presenta perito a juicio de mamá de ""El Marro"""
"
Gabino Morales Mendoza, superdelegado federal en el estado de San Luis Potosí, informó en su declaración patrimonial y de conflicto de intereses que tuvo un ingreso neto por su cargo casi 80 veces más de lo que reportó el presidente Andrés Manuel López Obrador, mientras que Pablo Amílcar Sandoval Ballesteros, delegado en Guerrero y hermano de Irma Eréndira Sandoval, secretaria de la Función Pública (SFP), aún no presenta su declaración patrimonial.",Delegado de SLP declaró ganar 80 veces sueldo de AMLO
"La ‘Chiquis Rivera’ está de manteles largos por los festejos de sus 35 años de edad, y qué mejor manera de celebrarlos que despojándose de toda su ropa para fascinación de sus seguidores.",
"Con una ocupación hospitalaria del 64%, el Estado de México pasó una de las semanas más difíciles por el incremento del 50% en el número de decesos por SARS-CoV-2  y por el aumento del 22% en el número de casos de Covid-19.",Incrementa 50% el número de muertes por Covid-19 en Edomex
"
Más de 3 mil 400 personas han donado $41 mil dólares para el barista Lenin Gutiérrez por su firmeza para negar el servicio a una mujer que exigió ser atendida sin cubrebocas. ",
"Jugar con las combinaciones de alimentos es algo delicioso, pero además es algo que puede resultar sumamente nutritivo, pues hay algunos ingredientes que juntos forman un mix nutritivo que puede servir para diferentes propósitos.",Alimentos que debes combinar para obtener un mix de nutrientes
"
Juchitán de Zaragoza. - El Ayuntamiento de San Mateo del Mar, comunidad Ikoots, del Istmo de Tehuantepec en Oaxaca, confirmó la masacre de 15 habitantes indígenas como resultado de un conflicto político-electoral entre la cabecera municipal y otras comunidades. ",Confirman masacre de 15 ikoots en San Mateo del Mar por conflicto político-electoral 
"A través de redes sociales, el presidente Andrés Manuel López Obrador publicó un video en el que se refirió a una semana difícil en nuestro país que registró un sismo de magnitud 7.5 en Oaxaca, más muertes por Covid-19 y el atentado contra Omar García Harfuch, secretario capitalino de Seguridad Ciudadana. ","Lo que dijo AMLO tras una “semana difícil” de sismo, pandemia y atentado"
"A partir del martes 30 de junio se reactivará el comercio en el Centro Histórico, entre ellos el ambulante, aunque bajo diversas condiciones, una vez que se determinó el cambio del semáforo a naranja.",Ambulantes se alternarán para vender: CDMX 
"Almoloya de Juárez.— Víctor, líder de  comerciantes en este municipio, fue ejecutado ayer al estilo del crimen organizado, pues para la policía todo indica un ajuste de cuentas.",
"Isabel, la hondureña mejor conocida como “Lady Zote” murió a los 47 años el pasado 26 de junio a causa de Covid-19 que se complicó por comorbilidad a causa de diabetes que padecía la mujer.",
"
Durante la semana que termina, las autoridades de salud reportaron el mayor número de contagios de coronavirus desde que se lleva el conteo (números que, como sabemos, no están actualizados al día, sino con semanas de retraso). Con sismo y atentado, nos dicen, pasó desapercibida una gran contradicción entre el presidente Andrés Manuel López Obrador y el subsecretario Hugo López-Gatell: mientras el primero afirma que el pueblo mexicano ha dado un ejemplo al mundo de comportamiento ante el virus, López Gatell confirmó que las medidas no fueron obedecidas. Molesto por el recordatorio que se hizo en medios de comunicación porque en abril él previó un fin de la epidemia en la CDMX el 25 de junio, el funcionario afirmó que ese pronóstico sólo ocurriría si la gente respetaba el confinamiento. Es decir, el pueblo bueno y sabio no obedeció las medidas sanitarias y los 26 mil muertos y contando son su culpa, no de las autoridades de Salud que, dice la versión oficial, todo lo han hecho bien.",El pueblo bueno resultó desobediente
"
La actriz Emilia Clarke fue captada por los paparazzis en un parque de Londres al salir a pasear a su perro. ",
Texto: Carlos Villasana y Ruth Gómez.,El edificio para la salud e higiene
"
Kylie Jenner fue captada por los paparazzis en calles de Los Ángeles destilando glamour y sensualidad con ajustado atuendo plateado con negro. ",
"Yanet García se consolidó como una de las consentidas en redes sociales por su labor en la pantalla chica, contrario a estas bellezas tapatías que primero saltaron del Instagram para retar a la famosa chica del clima regiomontana.",Las influencers tapatías que hacen temblar a Yanet García
"Como parte de las medidas de apoyo a las familias ante la pandemia por coronavirus Covid-19, la Coordinación Nacional de Becas para el Bienestar Benito Juárez entregará 400 mil becas a alumnos de nivel básico, es decir, preescolar, primaria y secundaria.",Cómo consigo una de Beca Benito Juárez de primaria y secundaria
"
La cantante Jennifer López recibió el verano presumiendo su belleza al compartir una fotografía en la playa, a través de su cuenta de Instagram.  ",
"El Santos Laguna tendría en activo en la Liga MX el registro del joven futbolista Joao Maleck, quien sigue en prisión por el cargo de homicidio culposo, debido a que hace un año provocó el choque automovilístico en el que murió la pareja, Fernanda Peña y Alejandro Castro, en calles de Zapopan, Jalisco.","Santos Laguna habría renovado a Joao Maleck, preso en Puente Grande "
"
El Gobierno del presidente de EU, Donald Trump, anunció este lunes que congela la emisión de nuevos visados de los tipos H-1B, H-2B, H-4, L-1 y J-1 y tarjetas de residencia (""green cards"") al menos hasta finales de este año, lo cual podría evitar la entrada al país de más de 240.000 extranjeros.",
"Damián Alcázar volvió a dar de qué hablar, y es que en esta ocasión criticó a Felipe Calderón por ser uno de los opositores al gobierno de Andrés Manuel López Obrador.",Damián Alcázar arremete contra Felipe Calderón Hinojosa
Leer en español,"Mexico City police chief Omar García Harfuch injured in assassination attempt, blames CJNG cartel"
"Los 28 sicarios que atentaron contra el secretario de Seguridad Ciudadana de la Ciudad de México, Omar García Harfuch, se ocultaron en hoteles de la alcaldía Cuauhtémoc, en dos casas de la Gustavo A. Madero y otra en la alcaldía Tláhuac; además, el arsenal de armas que emplearon incluyó no sólo cinco fusiles Barrett, sino un lanzagranadas. En total fueron levantados 414 casquillos percutidos.",Agresores de García Harfuch se ocultaron en tres alcaldías 
La Secretaría de Educación Pública (SEP) presentó el nuevo calendario escolar por coronavirus Covid-19.,Nuevo calendario escolar por coronavirus Covid-19 para imprimir
"En el Día del Orgullo LGBTIQ+ con un pequeño bikini hecho de girasoles, La Bebeshita le gritó a sus seguidores la importancia de pintar el mundo de colores, de ser libres y amar a quien se quiera sin importar lo que el resto diga, pero el asunto no paró ahí, como ya se sabe a la amorosa le gusta consentir a sus fans así que junto a su mensaje dejó un par de candentes videos. ",
"No hay mexicano que se respete que no ame y adore el pan dulce; es más, muy alto en la lista de nuestras delicias favoritas, siempre hay por lo menos un par de estas maravillas, e incluso se arman grandes discusiones familiares sobre las virtudes de unos y otros, y qué decir de las verdaderas batallas campales sobre la posesión (y consumo, por supuesto) de la última concha de vainilla.",Conoce los panes dulces mexicanos más clásicos de todos
"
En Puebla se han registrado mil 181 muertes y 9 mil 522 casos confirmados de coronavirus al 27 de junio.",Casos confirmados de Covid-19 en Puebla al 27 de junio
"En el marco de la celebración del orgullo gay y ante la pandemia por Covid-19, Hugo López-Gatell, subsecretario de Prevención y Promoción de la Salud, agradeció a la comunidad LGBT+ por haber realizado la marcha 42 de forma virtual. ",López-Gatell agradece a comunidad LGBT por marcha virtual
"El gobernador de California, Gavin Newsom, ordenó este domingo el cierre de los bares de Los Ángeles y de otros seis condados del estado en su intento de atajar la expansión de los casos de coronavirus en la región.",California cierra bares de Los Ángeles y 6 condados más para combatir el Covid-19
"Elementos de la Fiscalía General de la República (FGR) detuvo a Jaime Tafolla Ortega “El Alacrán”, identificado como integrante del Cártel Jalisco Nueva Generación (CJNG) quien supuestamente está implicado en el homicidio del juez federal Uriel Villegas Ortiz.",Detienen a dos sospechosos por asesinato del juez Uriel Villegas y su esposa
"El diputado local del PAN, Federico Döring, llamó a la jefa de Gobierno, Claudia Sheinbaum, a no olvidar la situación de la familia de Gabriela Gómez Cervantes, mujer que murió durante el atentado en contra del secretario de Seguridad Ciudadana (SSC), Omar García Harfuch. 
 
“Nos parece una irresponsabilidad que el Gobierno haya tratado de consolar a los familiares con 10 mil pesos. ¿Realmente eso vale la vida de una persona para la doctora Sheinbaum?”, cuestionó el panista.
 
Reconoció que si bien otorgaron facilidades para los trámites sobre el deceso, el legislador del blanquiazul se unió a la demanda que ha hecho el esposo de la hoy occisa, quien busca una indemnización justa para su familia.
 
“Hemos visto a la jefa de Gobierno visitando al secretario en el hospital, pero jamás vimos un acercamiento real hacia las familias de las víctimas, ya no sólo de Gómez Cervantes, sino alguna actitud con los familiares de los escoltas fallecidos y elementos heridos, simples reconocimientos y lamentaciones”, criticó el diputado. 
 
Ante ello, Döring Casar pidió a la secretaria de Gobierno, Rosa Icela Rodríguez, hacer un segundo esfuerzo para darle un trato más humano a la situación y no escatimar recursos para apoyar a la familia de Gabriela, quien dejó a dos menores solas. 
 
“Esta mujer era trabajadora y vivía al día, no dejar sola a la familia. Ojalá tengan una atención más clara y le exigimos al Gobierno darles todo el apoyo que va desde una vivienda, becas hasta garantizar los estudios de los menores hasta la universidad y que no se queden desprotegidos”, reiteró el panista. 
 
Además, dijo, en apoyo a la economía del esposo viudo, la doctora Sheinbaum Pardo debe garantizarles un medio de transporte para que este señor continúe con la venta de sus productos y mantenga a sus hijas.
 
Hay que entender que la desgracia de esta familia, sobre todo de Gabriela, es que estuvo en el lugar y la hora equivocada. Es una víctima ajena en la lucha contra la delincuencia, “pero es inhumano que ahora el Gobierno capitalino pretenda dar sólo 10 mil pesos a los deudos para que olviden el problema”, enfatizó el legislador.","Irresponsable, consolar con $10 mil a familia de joven fallecida en ataque a García Harfuch: Döring"
"Los Rolling Stones amenazaron el domingo al presidente de Estados Unidos, Donald Trump, con iniciar acciones legales por el uso de sus canciones en los actos de campaña del mandatario pese a las notificaciones legales exigiendo que deje de hacerlo.",Los Rolling Stones amenazan con demandar a Donald Trump
"Un gol de Casemiro, al borde del descanso, permitió al Real Madrid llevarse la victoria ante el Espanyol (0-1) y ampliar su ventaja como líder de LaLiga, ahora situada en dos puntos.",Real Madrid se acerca al título de la Liga Española; vence al Espanyol
"La Cámara de Senadores reinició labores este domingo entre nuevas medidas sanitarias y la búsqueda de consensos para avanzar cinco legislaciones que deberán cumplir diversas disposiciones del Tratado Comercial entre México, Estados Unidos y Canadá (T-MEC).",Senado reinicia labores entre sana distancia y búsqueda de consensos
"
El presidente Andrés Manuel López Obrador afirmó que no habrá guerra ni acuerdo con el crimen organizado, porque su administración seguirá adelante con su estrategia para que haya paz y tranquilidad con justicia en todo el país.","AMLO no cambia de estrategia, pese a atentado contra García Harfuch"
"
En Querétaro, 84% de las llamadas de emergencia a la línea 911 relacionadas con violencia contra las mujeres corresponden a incidentes de pareja, reporta el Secretariado Ejecutivo del Sistema Nacional de Seguridad Pública (SESNSP).",Querétaro es el quinto estado con más llamadas por violencia a mujeres
Texto: Daniela Jurado,El caos de los primeros grandes conciertos en México
"
La Secretaría de Salud del gobierno federal informó que al 27 de junio hay registro de 26 mil 381 muertos y 212 mil 802 casos confirmados acumulados de coronavirus en México.","Casos de Covid-19 en México, estado por estado al 27 de junio"
"Guanajuato.- La defensa de María Ortíz, madre del líder del Cartel de Santa Rosa de Lima, José Antonio Yépez, dio a conocer que un hermano de “El Marro” y su familia, se fue de México hacia Estados Unidos, tras la detención de la señora y una hermana.",Hermano de “El Marro” se va a Estados Unidos tras detenciones
"El escenario es un salón de la Casa Blanca, donde Donald Trump (DT), su hija Ivanka y su yerno Jared esperan con curiosidad a la delegación mexicana encabezada por el presidente Andrés Manuel López Obrador (AMLO). Sobre la mesa se han dispuesto cajitas con hamburguesas, pollo frito y refresco de cola. Minutos antes, AMLO y su comitiva visitaron apresuradamente la estatua de Benito Juárez en las avenidas Virginia y Nuevo Hampshire, pues los antifa siguen empeñados en derribar monumentos.",El Foco. Así será la reunión entre Trump y AMLO
