article_author,article_date,article_location,body,title,url
Perla Miranda,07/07/2020,,"La Secretaría de Salud presentó esta noche al Escuadrón de la Salud, un grupo de cuatro personajes que son aliadas de Susana Distancia, una creación de la dependencia para promover el distanciamiento social.",Buscan combatir el Covid en México ahora con nuevas heroínas,http://www.eluniversal.com.mx/nacion/susana-distancia-presenta-secretaria-de-salud-sus-4-aliadas-una-es-queer-y-otra-muxhe
José Meléndez / corresponsal,08/07/2020,,"
San José.— El anuncio que el presidente de Brasil, Jair Bolsonaro, difundió ayer de que dio positivo en una prueba de Covid-19 reafirmó un claro mensaje de que, ante la pandemia, “nadie es especial” y que, como alertó la Organización Mundial de la Salud (OMS) al revelarse que el gobernante se sumó a los más de 11.6 millones de enfermos del coronavirus en el orbe, todos “somos igualmente vulnerables”.","Bolsonaro ""irresponsable"", dicen expertos; ""contagio era inevitable""",http://www.eluniversal.com.mx/mundo/bolsonaro-irresponsable-dicen-expertos-contagio-era-inevitable
Redacción,08/07/2020,,"Ivanka Trump, hija del presidente estadounidense Donald Trump y quien funge también como su asesora, aseguró que la visita que realiza el presidente Andrés Manuel López Obrador a la Unión Americana profundizará aún más la amistad entre México y Estados Unidos, y manifestó que ambas naciones están unidas por valores comunes como la libertad y por la “profunda devoción por la fe y la familia.",Visita de AMLO profundizará más la amistad entre EU y México: Ivanka Trump,https://www.eluniversal.com.mx/nacion/visita-de-amlo-profundizara-amistad-entre-eu-y-mexico-ivanka-trump
EFE,08/07/2020,,"La Asociación Brasileña de Prensa (ABI, por sus siglas en portugués) anunció este martes que presentará una demanda a la Corte Suprema contra el presidente Jair Bolsonaro, a quien acusan de ""poner en riesgo"" la vida de los periodistas que acompañaron el anuncio de su positivo por coronavirus.",Prevén demandar a Bolsonaro por quitarse cubrebocas frente a periodistas,http://www.eluniversal.com.mx/mundo/bolsonaro-podria-ser-demandado-por-quitarse-cubrebocas
,,,"
En su esperada visita a la capital estadounidense, el presidente de México, Andrés Manuel López Obrador, depositó este miércoles flores a los pies de la estatua de bronce de Benito Juárez (1858-1872), al que considera un ejemplo en servicio público. ",,https://www.viveusa.mx/destinos/por-que-hay-una-estatua-de-benito-juarez-en-washington-dc
David Fuentes,08/07/2020,,"Debido a la alta peligrosidad que representan para el sistema penitenciario local, esta madrugada, bajo un fuerte dispositivo de seguridad, José Armando Briseño de Los Santos, “El Vaca”, presunto jefe de sicarios del Cártel de Jalisco Nueva Generación (CJNG), señalado como autor material del atentado contra el secretario de Seguridad Ciudadana, Omar García Harfuch, fue trasladado a un penal federal, confirmaron fuentes del gobierno de la ciudad.","Trasladan a ""El Vaca"", ""El Betito"", ""El Lunares"" y ""El Pistache"" a penales federales",http://www.eluniversal.com.mx/metropoli/cdmx/trasladan-el-vaca-el-betito-el-lunares-y-el-pistache-penales-federales
,,,"CDMX.—En un departamento de Iztapalapa mataron a balazos a dos hombres y una mujer. Vecinos de la unidad habitacional denunciaron a dos hombres, que fueron detenidos.",,https://www.elgrafico.mx/la-roja/nueve-hombres-armados-masacran-tres-personas-en-departamento-de-iztapalapa
,,,El gobierno del Estado de México a través de la Subsecretaría de Educación Básica informó el día que se entregarán los útiles escolares para el ciclo escolar 2020-2021.,Útiles escolares Edomex 2020-2021: Cuándo se entregan ,http://www.unionedomex.mx/articulo/2020/07/03/educacion/utiles-escolares-edomex-2020-2021-cuando-se-entregan
Diana Lastiri,06/07/2020,,"Un juez federal ordenó liberar a José Ángel Casarrubias Salgado “El Mochomo”, implicado en la desaparición de los 43 normalistas de Ayotzinapa, y a pesar de ello permanecerá arraigado.","Juez ordena liberar a ""El Mochomo"", pero permanecerá arraigado ",https://www.eluniversal.com.mx/nacion/mochomo-juez-ordena-liberar-lider-de-guerreros-unidos
Staff,08/07/2020,,"La industria turística es uno los sectores más importantes de México pero también de los más golpeados durante el paso de la Covid-19. No sabemos cuándo llegara la vacuna, por eso, debemos aprender a vivir (y a viajar) con nuevas reglas que protejan nuestra salud y la de todos, porque unos dependemos de los otros.",Así podrían ser las vacaciones de los mexicanos en tiempos de Covid-19,http://www.eluniversal.com.mx/destinos/como-seran-las-vacaciones-de-los-mexicanos-en-tiempos-de-covid-19
Redacción,08/07/2020,,"Leonardo Aguilar, hijo de Pepe Aguilar, presumió en sus redes sociales una imagen de su familia dibujada como si fuera una versión de Los Simpson. Pues la publicación tiene miles de likes y comentarios positivos de sus fans pero a los usuarios les ha surgido la duda ¿Y Emiliano? Resulta que se trata del hijo mayor de Pepe y producto de su primer matrimonio con Carmen Treviño y quien hace alrededor de tres años fue arrestado por intentar cruzar cuatro personas indocumentadas a Estados Unidos, y no, no aparece en la imagen. ",¿Y el otro hijo de Pepe Aguilar?,http://www.eluniversal.com.mx/espectaculos/farandula/y-el-otro-hijo-de-pepe-aguilar
,,,Aún en el siglo XXI hay gente a la que le cuesta creer que a las chicas también puede gustarles el futbol como a los hombres. Pero la influencer Karla Arriola demuestra que tiene más pasión por el Club América que cualquier otro aficionado del equipo.,,https://de10.com.mx/top-10/karla-arriola-la-bella-influencer-americanista
Redacción,08/07/2020,,"Una víctima de asalto, ocurrido en el puerto de Coatzacoalcos, persiguió con su camioneta a los dos delincuentes y los atropelló. ",Víctima de asalto persigue y atropella a delincuentes en Coatzacoalcos,http://www.eluniversal.com.mx/estados/veracruz-victima-de-asalto-persigue-y-atropella-delincuentes-en-coatzacoalcos
,08/07/2020,,"
Ayer estaban tan contentos en la Casa Blanca por la visita del presidente mexicano, Andrés Manuel López Obrador, que de tanta emoción escribieron mal el nombre del mandatario mexicano, y amigo del presidente Donald Trump, en la declaración oficial de Oficina de la Secretaria de Prensa. “Andres Manel López Obrador”, escribió la secretaria de Prensa de la casa presidencial estadounidense en la que se da cuenta de la visita de AMLO a Estados Unidos. Todos consideran que se trató de un error, sin embargo, algunos en tono broma dicen que se puede tratar de una especie de acto de reciprocidad por parte de la Casa Blanca, pues el presidente López Obrador nunca dice de manera correcta el apellido de don Donald. Sin embargo, es más fuerte el intercambio de halagos que se dispensan los dos presidentes, que lo de menos es la manera en que se escriban o pronuncien sus nombres.",Venganza de la Casa Blanca,https://www.eluniversal.com.mx/opinion/periodistas-el-universal/venganza-de-la-casa-blanca
